payment_id,user_id,amount,payment_date,plan_type,valid_until,churn_status,renewed,transaction_type,subscription_length,overlapping_subscription,subscription_sequence
T68237251590,15081,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,4
T64935599728,16446,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,2
T51224044572,15697,7.99,2025-03-15,Standard,2025-04-14,churned,False,payment,30,False,4
T76732762694,15654,7.99,2025-03-15,Standard,2025-04-14,churned,False,payment,30,False,3
T80312974669,15581,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,4
T59818280562,16368,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,3
T53065971325,15187,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,3
T61692649883,16484,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,2
T92754749595,15175,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,3
T89312411240,15046,7.99,2025-03-15,Standard,2025-04-14,churned,False,payment,30,False,5
T58257351999,15594,7.99,2025-03-15,Standard,2025-04-14,churned,False,payment,30,False,4
T84607840749,16347,7.99,2025-03-15,Standard,2025-04-14,churned,False,payment,30,False,3
T95758964002,16303,-1.0,2025-03-15,Standard,2025-04-14,churned,False,refund/credit,30,False,3
T72864473869,15050,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,5
T87333057327,15669,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,3
T66832428211,15668,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,3
T82910606847,16421,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,2
T76123231901,15062,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,5
T78553218875,16320,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,3
T96142528729,15727,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,3
T82875464052,15190,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,3
T71690174889,16405,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,3
T53103964862,15125,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,3
T69357173642,16456,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,2
T89128974252,16523,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,2
T74658918289,15131,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,4
T80184351447,15649,7.99,2025-03-15,Standard,2025-04-14,churned,False,payment,30,False,4
T74711129044,16395,12.99,2025-03-15,Premium,2025-05-14,active,True,payment,60,False,3
T59180522516,15717,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,4
T69714269885,16467,4.99,2025-03-15,Student Plan,2025-04-14,active,True,payment,30,False,3
T83694764544,15630,7.99,2025-03-15,Standard,2025-04-14,active,True,payment,30,False,4
T68397112337,15024,4.99,2025-03-14,Student Plan,2025-04-13,active,True,payment,30,False,5
T56141811977,16349,4.99,2025-03-14,Student Plan,2025-04-13,active,True,payment,30,False,3
T95572293436,16499,12.99,2025-03-14,Premium,2025-05-13,active,True,payment,60,False,2
T98335918162,15156,12.99,2025-03-14,Premium,2025-05-13,active,True,payment,60,False,3
T81518193144,15658,4.99,2025-03-14,Student Plan,2025-04-13,active,True,payment,30,False,4
T70061424222,16346,4.99,2025-03-14,Student Plan,2025-04-13,churned,False,payment,30,False,3
T50780275383,15656,7.99,2025-03-14,Standard,2025-04-13,active,True,payment,30,False,4
T71981155677,15027,7.99,2025-03-14,Standard,2025-04-13,active,True,payment,30,False,5
T92148165216,15162,12.99,2025-03-14,Premium,2025-05-13,active,True,payment,60,False,3
T73584653774,16462,7.99,2025-03-14,Standard,2025-04-13,active,True,payment,30,False,3
T50832029136,16491,12.99,2025-03-14,Premium,2025-05-13,churned,False,payment,60,False,2
T94973001114,15597,12.99,2025-03-14,Premium,2025-05-13,active,True,payment,60,False,4
T84882356118,16410,12.99,2025-03-14,Premium,2025-05-13,active,True,payment,60,False,2
T83438633579,16383,7.99,2025-03-14,Standard,2025-04-13,active,True,payment,30,False,3
T63000992060,16396,12.99,2025-03-14,Premium,2025-05-13,active,True,payment,60,False,2
T59442203811,15699,7.99,2025-03-14,Standard,2025-04-13,active,True,payment,30,False,3
T66062575103,15163,12.99,2025-03-14,Premium,2025-05-13,churned,False,payment,60,False,3
T61005721287,16479,-1.0,2025-03-14,Premium,2025-05-13,active,True,refund/credit,60,False,2
T98921090580,16427,12.99,2025-03-14,Premium,2025-05-13,active,True,payment,60,False,3
T78404159134,16482,12.99,2025-03-14,Premium,2025-05-13,active,True,payment,60,False,2
T91143343897,16444,7.99,2025-03-14,Standard,2025-04-13,active,True,payment,30,False,2
T73011815686,15682,-5.99,2025-03-14,Student Plan,2025-04-13,churned,False,refund/credit,30,False,3
T53050779981,15763,12.99,2025-03-14,Premium,2025-05-13,active,True,payment,60,False,3
T59683569656,15169,12.99,2025-03-14,Premium,2025-05-13,active,True,payment,60,False,3
T95801278110,15188,12.99,2025-03-13,Premium,2025-05-12,churned,False,payment,60,False,3
T73897287822,16412,4.99,2025-03-13,Student Plan,2025-04-12,active,True,payment,30,False,3
T70260329298,16315,12.99,2025-03-13,Premium,2025-05-12,active,True,payment,60,False,3
T77464138356,15147,12.99,2025-03-13,Premium,2025-05-12,active,True,payment,60,False,3
T71625108207,16425,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,2
T81497360457,16390,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,3
